Customer Name,Recency,Frequency,Monetary
Adam Andrews,388,7,22985
Adam Anthony,72,8,21867
Adam Archer,97,9,21033
Adam Armstrong,576,3,8136
Adam Atkinson,337,4,6238
Adam Avila,42,4,11191
Adam Baker,67,14,36093
Adam Baldwin,13,5,10250
Adam Ballard,9,6,11516
Adam Barnett,57,11,34397
Adam Beck,213,8,20210
Adam Bell,25,5,12009
Adam Benton,7,1,4195
Adam Bradford,172,5,18164
Adam Brandt,63,5,15156
Adam Bryant,519,4,7131
Adam Buck,89,3,12235
Adam Burnett,52,6,18878
Adam Butler,443,2,8077
Adam Caldwell,159,8,21705
Adam Carney,153,7,20011
Adam Carter,34,8,26255
Adam Cervantes,148,6,15428
Adam Chan,160,5,9603
Adam Chavez,127,4,7416
Adam Cisneros,804,2,6381
Adam Clark,65,10,27235
Adam Coffey,311,6,19299
Adam Cole,79,7,18161
Adam Collins,867,3,6205
Adam Daniel,66,7,20758
Adam Davis,53,13,31169
Adam Dickson,327,8,23569
Adam Dixon,195,8,24555
Adam Dominguez,351,4,11601
Adam Douglas DDS,163,7,17386
Adam Edwards,180,2,8687
Adam Elliott,11,3,12722
Adam Estrada,504,4,9477
Adam Ferguson,485,3,8032
Adam Fields,215,3,11591
Adam Flowers,108,6,11045
Adam Flynn,108,7,15876
Adam Garcia,13,8,22404
Adam Gardner,280,2,8495
Adam Garner,306,2,2537
Adam Gomez,241,4,11053
Adam Gonzalez,189,4,10995
Adam Graham,1316,2,5245
Adam Gray,29,3,8327
Adam Harris,424,5,12718
Adam Hart,586,5,12193
Adam Haynes,28,6,14724
Adam Henderson,229,7,24443
Adam Higgins,93,10,26090
Adam Hill,13,21,72253
Adam Hopkins,6,4,11405
Adam Howard,522,2,8072
Adam Howell,112,3,6562
Adam Hubbard,9,4,10886
Adam Hughes,179,5,14940
Adam Irwin,70,6,11217
Adam Jacobson,152,6,19716
Adam Jenkins,181,5,17811
Adam Johnson,41,25,75054
Adam Jones,14,21,66213
Adam Kent,227,2,4427
Adam King,62,15,39523
Adam Knight,67,10,24360
Adam Larson,466,2,6882
Adam Lee,586,4,12547
Adam Lopez,753,2,5134
Adam Manning,43,5,13191
Adam Marshall,230,7,21833
Adam Marshall DDS,4,7,16929
Adam Mcclain,1043,2,5089
Adam Meadows,731,1,331
Adam Mendoza,572,4,12733
Adam Miller,259,5,13135
Adam Moody,793,3,9974
Adam Moore,658,3,8577
Adam Morris,569,3,9250
Adam Mullen,554,4,10496
Adam Murillo,176,5,17565
Adam Myers,63,13,41361
Adam Palmer,285,5,15409
Adam Parker,1319,1,2982
Adam Parsons,423,7,17840
Adam Patterson,18,3,4561
Adam Ponce,165,7,18831
Adam Porter,34,2,3248
Adam Ramirez,6,8,23150
Adam Ramos,84,5,18352
Adam Raymond,144,3,8546
Adam Reese,226,5,13146
Adam Reid,235,5,8139
Adam Reynolds,50,5,18296
Adam Richards,194,6,11698
Adam Riley,110,5,12293
Adam Rivera,404,2,6127
Adam Rivers,397,4,17521
Adam Rodriguez,190,12,35758
Adam Rollins,109,4,4960
Adam Ross,23,12,33233
Adam Ruiz,142,4,12464
Adam Salinas,76,4,14636
Adam Sanchez,1049,1,1270
Adam Santiago,59,4,7944
Adam Schroeder,43,4,12147
Adam Scott,308,7,14176
Adam Short,393,6,13693
Adam Simpson,88,7,14395
Adam Smith,7,39,113737
Adam Snyder,774,4,11759
Adam Solis,298,3,4973
Adam Stanley,29,7,21532
Adam Stephens,139,5,14267
Adam Stevenson,383,6,13759
Adam Sullivan,222,2,6433
Adam Taylor,213,5,10885
Adam Tran,288,4,9156
Adam Turner,208,6,14330
Adam Tyler,538,1,4694
Adam Wagner,145,6,17866
Adam Ward,862,2,3955
Adam Watts,1191,1,4306
Adam Weber,215,5,17212
Adam White,37,4,9538
Adam Wiggins,142,7,19635
Adam Wiley,40,8,13816
Adam Wilkerson,815,3,10598
Adam Williams,420,7,23183
Adam Wilson,378,7,15564
Adam Woods,370,2,2540
Adam Young,31,17,43085
Adrian Anderson,290,8,15568
Adrian Ballard,299,4,14215
Adrian Bautista,131,5,21137
Adrian Bryan,173,8,15669
Adrian Burch,549,5,16092
Adrian Castillo,54,2,4428
Adrian Costa,60,4,11099
Adrian Evans,710,3,10273
Adrian French,78,9,32690
Adrian Garcia,27,6,9609
Adrian Garrett,13,6,19772
Adrian Harper,169,5,13705
Adrian Holt,152,4,9712
Adrian Houston,182,5,13966
Adrian Hughes,53,15,42137
Adrian James,332,4,17886
Adrian Jenkins,48,5,8478
Adrian Khan,53,5,16260
Adrian Lane,107,2,4469
Adrian Marshall,258,3,8975
Adrian Mckenzie,530,4,9146
Adrian Miller,83,6,20707
Adrian Owens,161,7,18654
Adrian Powers,141,9,24572
Adrian Reyes,212,8,22892
Adrian Rios,535,3,11008
Adrian Roberts,386,5,17511
Adrian Simpson,829,3,7286
Adrian Smith,66,5,15422
Adrian Soto,387,6,21839
Adrian Taylor,11,4,8395
Adrian Thompson,250,3,12719
Adrian Waters,65,7,21789
Adrian Watts,60,3,8783
Adrian Weiss,40,7,19842
Adrian Wright,47,8,26473
Adriana Cunningham,10,5,15312
Adriana Gonzales,228,5,16041
Adriana Hale,324,5,11707
Adriana Hernandez,21,5,8003
Adriana Mann,65,8,15717
Adriana Myers,367,2,8719
Adriana Odonnell,495,3,4672
Adriana Powell,411,5,16247
Adriana Ramirez,547,1,1300
Adriana Richards,49,6,12906
Adriana Robinson,288,4,13882
Adriana Spencer,24,3,10419
Adriana Thomas,256,7,21157
Adrienne Charles,264,3,11831
Adrienne Chen,217,5,10468
Adrienne Lee,167,6,11363
Adrienne Lynch,267,6,14306
Adrienne Melendez,152,7,16665
Adrienne Miller,1163,3,9262
Adrienne Perez,277,2,5436
Adrienne Poole,14,6,25743
Adrienne Price,579,6,23209
Adrienne Robinson,406,3,8391
Adrienne Schmidt,88,5,15213
Adrienne Sexton,93,9,24694
Adrienne Stewart,44,4,10283
Adrienne Young,282,1,538
Aimee Cameron,147,8,23833
Aimee Cantrell,78,8,17757
Aimee Gilbert,76,8,23692
Aimee Hicks,249,9,20986
Aimee Huang,199,7,12857
Aimee Hughes,61,6,21307
Aimee Jacobs,188,6,17141
Aimee Johnson,45,19,53343
Aimee Ross,33,7,27310
Aimee Russell,168,9,23329
Aimee Thomas,160,6,16677
Alan Allison,208,5,13929
Alan Barker,540,5,8744
Alan Bell,11,8,23266
Alan Brown,11,7,16002
Alan Carrillo,310,5,7852
Alan Charles,151,7,18017
Alan Choi,216,3,13202
Alan Christensen,228,2,3964
Alan Coleman,31,9,30181
Alan Crawford,321,7,19029
Alan Davies,279,5,13303
Alan Davis,414,4,16427
Alan Delacruz,199,6,19643
Alan Dennis,471,2,6031
Alan Farrell,42,3,6259
Alan Frank,1185,3,7701
Alan Fuller,196,8,28602
Alan Gardner,66,5,20084
Alan Garrett,256,6,20100
Alan Gonzalez,444,2,4683
Alan Green,103,2,3255
Alan Haynes,29,7,22070
Alan Hoffman,409,3,12059
Alan Jensen,380,11,36166
Alan Johnson,161,6,14852
Alan Joseph,227,6,16052
Alan King,94,5,19105
Alan Lewis,253,3,12863
Alan Little,915,3,8730
Alan Martin,56,10,31779
Alan Mcintosh,31,3,6135
Alan Mejia,45,8,20570
Alan Mitchell,85,6,19389
Alan Moore,59,14,37262
Alan Mora,47,7,19038
Alan Morales,759,3,8620
Alan Morris,480,3,6404
Alan Newman,619,3,12126
Alan Nguyen,20,6,11818
Alan Norton,611,6,12677
Alan Oconnell,72,5,12438
Alan Pearson,33,8,21117
Alan Peters,540,9,22542
Alan Price,17,5,11535
Alan Reed,190,4,5559
Alan Reeves,227,5,13230
Alan Reilly,168,3,11431
Alan Robinson,439,5,7950
Alan Rogers,427,4,10676
Alan Roth,337,3,5168
Alan Rowe,438,2,4493
Alan Ruiz,75,7,16072
Alan Sampson,65,4,7416
Alan Smith,137,3,7393
Alan Stevens,6,19,43566
Alan Stewart,115,6,20837
Alan Torres,229,7,11492
Alan Tucker,317,5,12938
Alan Turner,325,11,28091
Alan Valentine,145,7,26423
Alan Velasquez,122,3,4609
Alan Welch,61,3,13966
Alan Wright,630,3,10598
Albert Aguirre,145,5,12710
Albert Alexander,393,9,23021
Albert Arnold,199,6,11893
Albert Boyle,40,7,24256
Albert Caldwell,227,7,24623
Albert Christensen,258,7,21436
Albert Cruz,670,3,5704
Albert Cummings,193,8,25829
Albert Davis,658,1,2497
Albert Elliott,233,6,16514
Albert Erickson,420,2,6984
Albert Fisher,217,6,20556
Albert Galvan,57,4,10532
Albert Graham,156,5,14464
Albert Guerra,701,3,6694
Albert Hampton,402,7,17804
Albert Harris,426,8,24078
Albert Harrison,41,8,21149
Albert Johnson,13,13,37295
Albert Lee,417,9,25970
Albert May MD,216,4,15253
Albert Melendez,82,5,11600
Albert Miller,528,1,5210
Albert Mitchell,442,3,7784
Albert Moody,457,3,9659
Albert Morales,57,6,14007
Albert Nelson,756,3,12246
Albert Ortiz,187,8,26776
Albert Patel,89,3,8490
Albert Rivera,440,2,3854
Albert Roberts,64,7,17892
Albert Rodriguez,51,4,10813
Albert Rose,197,6,15995
Albert Saunders,47,3,9488
Albert Sherman,243,6,14737
Albert Smith,0,4,7131
Albert Stewart,249,4,10186
Albert Taylor,252,7,22323
Albert Walker,37,5,10786
Albert Warren,190,5,17049
Albert Washington,25,6,14453
Albert Weiss,315,2,4017
Albert Whitaker,243,3,7515
Albert White,603,4,11857
Albert Wilson,89,2,8528
Albert Wolfe,774,3,11387
Alec Brown,403,7,24362
Alec Buck,121,11,25314
Alec Castillo,126,5,11345
Alec Cruz,457,4,15377
Alec Elliott,570,3,6837
Alec Fox,213,5,13876
Alec Hall,492,2,2895
Alec Lopez,180,4,9965
Alec Roberson,198,4,7628
Alec Smith,38,8,18821
Alejandra Adams,213,3,8412
Alejandra Brown,69,7,25294
Alejandra Fields,460,3,10300
Alejandra Hunt,243,3,3523
Alejandra Pope,34,3,8187
Alejandra Richards,295,7,17143
Alejandra Rivera,90,10,26780
Alejandra Snyder,792,2,7801
Alejandro Boyle,163,5,14462
Alejandro Bradford MD,65,9,26485
Alejandro Bruce,321,7,15520
Alejandro Cameron,145,4,7255
Alejandro Campbell,190,4,5591
Alejandro Davis,413,4,8872
Alejandro Green,426,4,11898
Alejandro Herring,32,6,14073
Alejandro Maddox,111,4,7175
Alejandro Martin,27,3,3379
Alejandro Mitchell,456,5,13080
Alejandro Nguyen,676,2,5057
Alejandro Nixon,643,4,11582
Alejandro Noble,174,8,24134
Alejandro Robinson,141,5,12344
Alejandro Shepard,277,7,16940
Alejandro Stephens,173,6,14586
Alejandro Woods,243,4,9746
Alex Aguilar,64,3,7560
Alex Brewer,206,3,12573
Alex Brown,436,6,17263
Alex Byrd,224,7,19648
Alex Chapman,179,4,8665
Alex Christian,70,5,12831
Alex Cooper,208,6,13139
Alex Dalton,1135,1,1579
Alex Davis,636,3,6023
Alex Dean,99,5,13615
Alex Dennis,363,1,4775
Alex Garza,596,4,11236
Alex Gay,192,8,21044
Alex Gonzalez,1,10,32533
Alex Graham,320,5,19893
Alex Hernandez,182,3,7765
Alex Howell,7,5,15727
Alex Jacobs,182,4,11271
Alex Jenkins,171,8,24069
Alex Jensen,688,4,12923
Alex Johnson,15,5,11375
Alex Johnson III,132,3,5797
Alex Kirby,289,6,21315
Alex Lam,189,7,22070
Alex Lewis,173,8,19641
Alex Lopez,595,2,8402
Alex Marshall,12,9,20098
Alex Martinez,496,2,6434
Alex Mcguire,284,5,7268
Alex Mckay,57,4,10478
Alex Melendez,139,7,13153
Alex Miller,52,4,12380
Alex Miranda,238,3,5851
Alex Mooney,135,7,12684
Alex Moore,129,7,19085
Alex Murphy,31,5,12707
Alex Perkins,208,4,12208
Alex Robinson,67,6,22641
Alex Rodriguez,78,7,15647
Alex Ruiz,10,4,15032
Alex Ryan,71,8,20630
Alex Schroeder,600,2,2945
Alex Schwartz,135,4,8936
Alex Smith,66,8,18856
Alex Taylor,214,4,15104
Alex Waller DDS,60,7,20800
Alex Washington,100,6,17077
Alex Weaver,449,7,15334
Alex Williams,678,4,10409
Alex Wright,27,3,11202
Alex Yoder,392,5,12408
Alexa Anderson,228,2,5576
Alexa Burke,231,4,14534
Alexa Campbell,562,4,14401
Alexa Conner,155,4,13626
Alexa Cook,237,5,14938
Alexa Cox,142,5,17753
Alexa Davis,657,4,12007
Alexa Edwards,497,5,16625
Alexa Ford,595,5,8007
Alexa Golden,96,2,9851
Alexa Gonzalez,507,1,2684
Alexa Hughes,22,8,25674
Alexa Lee,102,6,14695
Alexa Lewis,796,4,10271
Alexa Lopez,101,4,8336
Alexa Matthews,843,1,4166
Alexa Nichols,291,6,12386
Alexa Scott,4,10,29305
Alexa Turner,171,5,12839
Alexa Valentine,187,5,16958
Alexa Weeks,34,6,15552
Alexa Wilkins,586,4,10940
Alexa Woodward,125,7,14296
Alexander Abbott,451,2,4676
Alexander Aguilar,275,5,10412
Alexander Anderson,112,6,14303
Alexander Andrews,191,4,11869
Alexander Atkinson,258,5,10972
Alexander Baker,69,7,16193
Alexander Barker,81,1,1324
Alexander Barnes,42,4,10644
Alexander Barr,191,5,10925
Alexander Barron,358,5,10535
Alexander Bennett,72,5,13710
Alexander Benson,124,9,28095
Alexander Bentley,346,3,6677
Alexander Bowen,170,4,3696
Alexander Boyer,35,8,22394
Alexander Brock,135,11,37545
Alexander Brown,8,22,59128
Alexander Buckley,54,4,15858
Alexander Burnett,562,1,2255
Alexander Bush,116,5,17058
Alexander Campbell,22,11,30811
Alexander Castillo,82,5,18329
Alexander Chambers,9,6,17426
Alexander Cline,658,6,12158
Alexander Coleman,127,6,20028
Alexander Conway,95,5,17674
Alexander Cook,413,2,6312
Alexander Cox,641,1,2627
Alexander Crawford,627,3,8620
Alexander Cruz,188,13,36971
Alexander Davenport,1,6,15375
Alexander Davis,76,15,35144
Alexander Dillon,28,7,15998
Alexander Duran,934,1,3189
Alexander Ellis,67,4,10252
Alexander Faulkner,190,8,15567
Alexander French,113,6,20753
Alexander Garcia,343,5,12301
Alexander Garrett,302,7,20286
Alexander Gibson,7,8,21228
Alexander Glenn,85,4,7112
Alexander Gomez,200,1,2778
Alexander Gonzalez,414,7,20510
Alexander Gordon,227,3,9260
Alexander Graham,33,6,15614
Alexander Grant,3,6,19674
Alexander Green,32,9,23039
Alexander Griffin,379,8,21357
Alexander Hall,349,4,11895
Alexander Hampton,63,7,29067
Alexander Hanson,30,7,21308
Alexander Hardy,62,9,21644
Alexander Harrell,168,3,7598
Alexander Harris,191,6,18088
Alexander Harrison,285,3,3476
Alexander Hartman,61,7,15859
Alexander Hernandez,42,9,21149
Alexander Hess,15,6,10330
Alexander Holland,545,4,13040
Alexander Horton,136,4,9655
Alexander Howard,60,9,24743
Alexander Hughes,537,5,8040
Alexander Jackson,218,4,10785
Alexander Johnson,842,4,13340
Alexander Jones,24,10,19805
Alexander Jordan,168,6,22422
Alexander Lam,59,4,6946
Alexander Leblanc,95,2,5852
Alexander Lopez,119,6,20228
Alexander Lucas,52,4,13238
Alexander Marshall MD,171,9,25414
Alexander Martin,230,4,10421
Alexander Matthews,39,3,7138
Alexander Maynard,131,5,10984
Alexander Mckay,159,6,15823
Alexander Mejia,441,6,16108
Alexander Mendez,276,8,21674
Alexander Miller,202,9,32532
Alexander Mitchell,6,6,19470
Alexander Mora,128,2,7012
Alexander Morales,252,2,2042
Alexander Mosley,535,3,6834
Alexander Nelson,598,4,13727
Alexander Newton,239,5,10352
Alexander Nunez,428,3,3339
Alexander Oconnor,185,5,12801
Alexander Park,1208,2,4460
Alexander Parker,160,5,9143
Alexander Paul,298,1,4937
Alexander Perez,556,5,11699
Alexander Pratt,150,9,18612
Alexander Rios,48,5,13803
Alexander Roach,62,7,15134
Alexander Robertson,225,3,4785
Alexander Rogers,158,6,13675
Alexander Roman,32,6,17216
Alexander Russo,219,12,30702
Alexander Scott,674,3,9369
Alexander Simmons Jr.,239,6,19667
Alexander Simon,12,9,28551
Alexander Simpson,627,1,606
Alexander Smith,49,17,44629
Alexander Snyder,154,3,11565
Alexander Steele,50,5,15712
Alexander Stephens,356,1,1038
Alexander Stewart,538,4,6101
Alexander Strickland,198,9,27737
Alexander Strong,320,3,6165
Alexander Thomas,270,5,11975
Alexander Thompson,44,7,20868
Alexander Townsend,511,4,8438
Alexander Velez,15,8,18707
Alexander Villa,516,6,10939
Alexander Walker,234,3,10521
Alexander Walsh,76,2,6182
Alexander Washington,93,4,11493
Alexander Welch,11,6,16375
Alexander West,369,5,16087
Alexander Wheeler,12,10,31446
Alexander White,120,6,13904
Alexander Williams,234,9,17705
Alexander Williamson Jr.,65,6,18153
Alexander Wilson,151,27,81805
Alexander Winters,699,3,5281
Alexander Zimmerman,158,3,9626
Alexandra Aguilar,498,5,11530
Alexandra Armstrong,427,5,16870
Alexandra Bell,5,4,8492
Alexandra Bradford,100,6,13798
Alexandra Brewer,216,9,21851
Alexandra Bryant,140,8,25147
Alexandra Camacho,11,5,11097
Alexandra Carrillo,386,3,7825
Alexandra Collins,162,7,19280
Alexandra Combs,164,6,17260
Alexandra Conner,188,9,25958
Alexandra Crawford,42,9,27735
Alexandra Dalton,255,2,3762
Alexandra Davis,375,5,8017
Alexandra Faulkner,155,6,14933
Alexandra Ferguson,27,3,9411
Alexandra Fernandez,43,5,16558
Alexandra Fleming,167,4,16051
Alexandra Flores,344,4,11379
Alexandra Gibson,110,4,11442
Alexandra Gonzalez,90,7,15041
Alexandra Green,120,5,9087
Alexandra Hall,340,3,12360
Alexandra Hamilton,524,6,7768
Alexandra Harris,270,4,15622
Alexandra Hatfield,102,3,9232
Alexandra Holland,297,6,13870
Alexandra Hubbard,53,6,15686
Alexandra Huber,7,6,16126
Alexandra Hunter,709,2,6204
Alexandra Johnson,279,7,20205
Alexandra Jones,32,5,9146
Alexandra Kennedy,92,3,7903
Alexandra King,77,2,8049
Alexandra Lee,133,5,10895
Alexandra Marquez,702,4,10403
Alexandra Mason,34,5,12722
Alexandra Mccoy,331,3,9111
Alexandra Mcdonald,148,4,10261
Alexandra Mcgee,155,9,22743
Alexandra Miller,100,5,10888
Alexandra Montgomery,553,2,3406
Alexandra Moody,206,3,9941
Alexandra Morris,91,11,34404
Alexandra Olsen,109,11,31505
Alexandra Proctor,429,3,8170
Alexandra Ramirez,8,11,32969
Alexandra Reed,116,3,10365
Alexandra Rodriguez,161,4,15598
Alexandra Ryan,93,8,23286
Alexandra Santana,34,8,20139
Alexandra Scott,330,3,13041
Alexandra Simpson,143,9,24159
Alexandra Sims,148,6,12802
Alexandra Smith,84,5,14033
Alexandra Sparks,1260,1,1074
Alexandra Stark,312,7,24717
Alexandra Sweeney,112,8,20315
Alexandra Turner,4,6,11669
Alexandra Walters,94,5,18897
Alexandra White,287,8,20053
Alexandra Williams,38,6,18206
Alexandra Wilson,93,6,17781
Alexandra Yates,517,1,2743
Alexandria Adkins,658,5,4732
Alexandria Alvarado,51,5,14480
Alexandria Blankenship,163,4,13010
Alexandria Cole,4,7,17625
Alexandria Erickson,273,5,16285
Alexandria Fuller,765,3,12357
Alexandria Hamilton,852,2,7412
Alexandria Hendrix,253,5,18452
Alexandria Hickman,38,8,28783
Alexandria Hughes,98,4,15925
Alexandria Johnson,178,4,11505
Alexandria Mendoza,325,7,19650
Alexandria Miller,202,5,6515
Alexandria Murphy,768,4,9587
Alexandria Robertson,129,8,21406
Alexandria Roy,288,4,7326
Alexandria Ruiz,929,2,3438
Alexandria Smith,123,4,12841
Alexandria Swanson,384,5,12180
Alexandria Velez,268,7,19183
Alexandria Wade,17,4,8051
Alexis Acevedo,42,2,5037
Alexis Adams,41,4,6682
Alexis Andrews,81,7,20922
Alexis Arias,598,6,15750
Alexis Bailey,671,5,16467
Alexis Baker,509,6,15244
Alexis Baker DDS,169,5,3152
Alexis Barnett,342,5,15642
Alexis Beard,261,5,12813
Alexis Benson,2,6,12338
Alexis Blanchard,329,3,9551
Alexis Butler,377,3,5753
Alexis Caldwell,87,3,7148
Alexis Cantrell MD,401,2,1729
Alexis Clark,358,4,8441
Alexis Cook,76,5,7813
Alexis Cox,351,5,17296
Alexis Dominguez,165,5,13874
Alexis Dunn DVM,60,9,19916
Alexis Espinoza,262,6,18698
Alexis Ferguson,160,4,13349
Alexis Fields,477,4,4521
Alexis Fitzgerald,776,2,2349
Alexis Foster,139,7,14377
Alexis Garza,269,8,23201
Alexis Giles,171,7,24907
Alexis Gordon,560,4,9979
Alexis Graham,412,2,7812
Alexis Gray,749,2,4168
Alexis Guzman,565,2,948
Alexis Harrington,554,2,1876
Alexis Harrison DDS,923,4,14823
Alexis Herrera,312,7,20952
Alexis Hill,113,4,13567
Alexis Hodges,386,11,37233
Alexis Holden,0,8,18592
Alexis Holmes,541,4,14330
Alexis Jimenez,108,7,17124
Alexis Johnson,66,9,22975
Alexis Jones,145,7,22994
Alexis Kelley,27,4,14621
Alexis Kennedy,598,5,12978
Alexis King,268,5,8227
Alexis Lara,302,6,21569
Alexis Larson,393,7,18616
Alexis Leonard,1043,1,2605
Alexis Logan,68,10,19669
Alexis Lopez,18,7,17901
Alexis Martin,6,12,39363
Alexis Meyer,250,3,12562
Alexis Miller,38,9,24090
Alexis Mitchell,205,7,15763
Alexis Morris,470,7,20442
Alexis Munoz,60,5,12124
Alexis Norman,57,10,20459
Alexis Oneill,94,5,11565
Alexis Ramirez,452,3,5703
Alexis Rangel,551,1,1895
Alexis Reyes DDS,127,7,20302
Alexis Richardson,340,6,16826
Alexis Rios,18,8,20969
Alexis Rivera,161,2,4890
Alexis Rodriguez,452,7,18858
Alexis Rose,285,8,20467
Alexis Ruiz,13,11,26038
Alexis Ryan,667,3,6550
Alexis Sanchez,184,9,25298
Alexis Sawyer,382,2,5136
Alexis Schmidt,75,3,7242
Alexis Scott,245,5,10439
Alexis Shah,393,8,19886
Alexis Silva,57,8,23199
Alexis Smith,163,13,36453
Alexis Steele MD,37,6,18614
Alexis Stewart,35,3,9678
Alexis Tanner,185,4,10345
Alexis Tyler,79,9,29974
Alexis Vasquez,244,6,17871
Alexis Wallace,671,2,5227
Alexis Weaver,771,1,4067
Alexis Webb,561,4,7218
Alexis Weiss,106,6,16874
Alexis West,359,4,11968
Alexis Williams,7,10,28286
Alexis Wilson Jr.,556,4,11163
Alexis Wise,102,5,10655
Alexis Wright,119,8,22014
