Customer Name,Total Spending,Customer Tenure,Returns,Churn
Adam Burnett,5122,833,2.0,0
Adam Butler,2008,1212,1.0,0
Adam Caldwell,6269,1321,4.0,0
Adam Carney,7420,1019,5.0,0
Adam Carter,5680,1139,5.0,0
Adam Cervantes,2559,1196,2.0,0
Adam Chan,3370,953,1.0,0
Adam Chavez,5502,1131,1.0,0
Adam Cisneros,2102,1059,0.0,0
Adam Clark,7356,1089,6.0,0
Adam Coffey,7242,1343,3.0,1
Adam Cole,4288,1272,4.0,0
Adam Collins,336,1164,2.0,0
Adam Daniel,5560,1252,2.0,0
Adam Davis,10165,1168,9.0,1
Adam Dickson,7415,1301,3.0,0
Adam Dixon,6731,1345,2.0,0
Adam Dominguez,2159,1217,1.0,0
Adam Douglas DDS,3603,1122,5.0,0
Adam Edwards,510,1347,1.0,0
Adam Elliott,247,927,0.0,0
Adam Estrada,2837,1322,3.0,0
Adam Ferguson,2311,1248,0.0,0
Adam Fields,878,932,0.0,1
Adam Flowers,3745,1214,3.0,0
Adam Flynn,6802,1004,3.0,1
Adam Garcia,7266,1250,0.0,0
Adam Gardner,107,587,0.0,0
Adam Garner,515,684,2.0,1
Adam Gomez,1388,1058,2.0,0
Adam Gonzalez,3912,1086,3.0,1
Adam Graham,2964,1342,1.0,1
Adam Gray,2052,1084,2.0,0
Adam Harris,3165,912,2.0,0
Adam Hart,5490,975,2.0,0
Adam Haynes,3837,787,2.0,0
Adam Henderson,5366,1220,2.0,1
Adam Higgins,4998,1283,4.0,1
Adam Hill,15967,1218,10.0,1
Adam Hopkins,2659,1048,3.0,0
Adam Howard,2068,1059,2.0,0
Adam Howell,962,1058,0.0,0
Adam Hubbard,6050,1252,2.0,0
Adam Hughes,3036,1350,2.0,1
Adam Irwin,3925,1200,3.0,0
Adam Jacobson,4063,1339,3.0,0
Adam Jenkins,4064,711,2.0,0
Adam Johnson,17901,1310,11.0,1
Adam Jones,16700,1335,11.0,0
Adam Kent,1614,887,0.0,0
Adam King,18269,1301,8.0,0
Adam Knight,9190,1337,5.0,0
Adam Larson,211,1209,0.0,0
Adam Lee,2903,1291,3.0,0
Adam Lopez,619,949,0.0,0
Adam Manning,1286,1054,1.0,0
Adam Marshall,3971,1152,3.0,0
Adam Marshall DDS,5936,1202,1.0,0
Adam Mcclain,591,1190,1.0,1
Adam Meadows,570,731,1.0,1
Adam Mendoza,3994,1243,1.0,0
Adam Miller,2258,966,1.0,0
Adam Moody,2838,967,2.0,0
Adam Moore,3259,1053,1.0,0
Adam Morris,2424,1215,1.0,0
Adam Mullen,2236,1279,1.0,0
Adam Murillo,4678,1202,0.0,0
Adam Myers,15194,1321,5.0,1
Adam Palmer,4494,1328,2.0,0
Adam Parker,892,1319,0.0,0
Adam Parsons,5982,1285,4.0,0
Adam Patterson,2572,770,1.0,0
Adam Ponce,4883,1333,3.0,0
Adam Porter,1375,306,0.0,0
Adam Ramirez,6534,1331,1.0,0
Adam Ramos,4077,1347,1.0,0
Adam Raymond,1443,980,0.0,0
Adam Reese,4941,1315,2.0,0
Adam Reid,3241,1186,2.0,1
Adam Reynolds,3701,665,1.0,0
Adam Richards,2612,971,3.0,1
Adam Riley,3896,841,3.0,0
Adam Rivera,1529,1217,0.0,0
Adam Rivers,3083,859,2.0,0
Adam Rodriguez,6154,1331,5.0,0
Adam Rollins,2989,1307,4.0,0
Adam Ross,8631,1352,9.0,1
Adam Ruiz,3796,808,0.0,0
Adam Salinas,1527,892,2.0,0
Adam Sanchez,1015,1049,0.0,0
Adam Santiago,3781,906,0.0,1
Adam Schroeder,3412,561,2.0,1
Adam Scott,5579,1274,1.0,0
Adam Short,3889,1319,1.0,1
Adam Simpson,4011,1241,2.0,0
Adam Smith,31802,1317,13.0,1
Adam Snyder,3452,1240,2.0,0
Adam Solis,1440,772,1.0,0
Adam Stanley,4154,1331,1.0,0
Adam Stephens,3407,1046,3.0,0
Adam Stevenson,4363,1123,3.0,0
Adam Sullivan,1320,426,0.0,0
Adam Taylor,4905,1238,1.0,0
Adam Tran,4918,1329,2.0,0
Adam Turner,5988,1335,2.0,0
Adam Tyler,508,538,0.0,0
Adam Wagner,5450,1054,2.0,0
Adam Ward,3061,1020,0.0,1
Adam Watts,685,1191,0.0,0
Adam Weber,4119,1292,2.0,0
Adam White,4998,1278,2.0,0
Adam Wiggins,3527,859,3.0,0
Adam Wiley,9281,1113,2.0,1
Adam Wilkerson,2642,1044,2.0,0
Adam Williams,6752,1281,3.0,0
Adam Wilson,3062,1297,2.0,0
Adam Woods,352,1221,1.0,0
Adam Young,11614,1287,6.0,0
Adrian Anderson,5967,1101,3.0,0
Adrian Ballard,5651,1159,1.0,0
Adrian Bautista,1950,969,3.0,0
Adrian Bryan,8204,1128,3.0,0
Adrian Burch,2878,1304,2.0,0
Adrian Castillo,1349,1078,1.0,0
Adrian Costa,2408,1192,1.0,0
Adrian Evans,4141,1153,0.0,0
Adrian French,10271,1266,3.0,0
Adrian Garcia,5788,1202,4.0,0
Adrian Garrett,3922,1328,1.0,0
Adrian Harper,4292,1210,1.0,0
Adrian Holt,2459,1322,3.0,0
Adrian Houston,3951,1059,5.0,1
Adrian Hughes,9916,1213,6.0,0
Adrian James,4122,1233,1.0,0
Adrian Jenkins,5972,1007,3.0,0
Adrian Khan,3093,1237,1.0,0
Adrian Lane,1611,366,0.0,1
Adrian Marshall,2038,1150,1.0,0
Adrian Mckenzie,2673,1210,2.0,0
Adrian Miller,8986,1244,1.0,0
Adrian Owens,2818,1191,5.0,0
Adrian Powers,6367,1156,4.0,0
Adrian Reyes,5876,1223,1.0,1
Adrian Rios,3674,1058,3.0,1
Adrian Roberts,2795,926,2.0,0
Adrian Simpson,785,1235,1.0,0
Adrian Smith,5672,1103,0.0,0
Adrian Soto,5827,1282,3.0,0
Adrian Taylor,1671,609,1.0,0
Adrian Thompson,3156,937,1.0,0
Adrian Waters,4765,1329,3.0,0
Adrian Watts,2644,701,2.0,0
Adrian Weiss,5976,1143,2.0,0
Adrian Wright,6882,1242,4.0,0
Adriana Cunningham,3577,1271,3.0,1
Adriana Gonzales,3106,1305,4.0,1
Adriana Hale,4271,1293,1.0,0
Adriana Hernandez,5767,1252,2.0,0
Adriana Mann,9124,1004,2.0,0
Adriana Myers,649,575,0.0,1
Adriana Odonnell,783,1041,1.0,1
Adriana Powell,1629,1290,2.0,0
Adriana Ramirez,885,547,1.0,0
Adriana Richards,2778,1198,3.0,0
Adriana Robinson,5434,995,3.0,0
Adriana Spencer,1405,1277,1.0,0
Adriana Thomas,4121,1248,4.0,0
Adrienne Charles,4040,1312,2.0,0
Adrienne Chen,4145,1340,2.0,0
Adrienne Lee,3703,1173,3.0,0
Adrienne Lynch,2865,1350,1.0,0
Adrienne Melendez,3806,1298,2.0,0
Adrienne Miller,1684,1322,2.0,0
Adrienne Perez,727,348,0.0,0
Adrienne Poole,4968,1104,1.0,0
Adrienne Price,3803,940,2.0,0
Adrienne Robinson,3236,1304,2.0,0
Adrienne Schmidt,4572,1291,2.0,0
Adrienne Sexton,7737,1313,5.0,0
Adrienne Stewart,3718,1293,1.0,0
Adrienne Young,512,282,0.0,0
Aimee Cameron,1220,1322,3.0,0
Aimee Cantrell,8032,1028,5.0,0
Aimee Gilbert,5376,1270,5.0,1
Aimee Hicks,6445,1310,3.0,1
Aimee Huang,5764,1304,3.0,0
Aimee Hughes,4060,1052,5.0,0
Aimee Jacobs,5806,910,2.0,0
Aimee Johnson,16392,1350,9.0,0
Aimee Ross,2155,1112,3.0,0
Aimee Russell,11013,1320,6.0,0
Aimee Thomas,4251,1302,2.0,0
Alan Allison,4057,1218,1.0,0
Alan Barker,2686,1338,3.0,0
Alan Bell,8756,1316,2.0,0
Alan Brown,3208,1305,4.0,0
Alan Carrillo,3395,1174,0.0,0
Alan Charles,7295,1257,2.0,0
Alan Choi,979,1254,2.0,0
Alan Christensen,1478,607,1.0,1
Alan Coleman,6959,1163,6.0,1
Alan Crawford,4003,965,4.0,0
Alan Davies,2401,1230,2.0,0
Alan Davis,5193,1146,2.0,0
Alan Delacruz,5156,1338,0.0,0
Alan Dennis,1179,736,1.0,0
Alan Farrell,2210,432,1.0,1
Alan Frank,846,1261,2.0,0
Alan Fuller,5895,1021,6.0,0
Alan Gardner,1268,887,1.0,0
Alan Garrett,5339,1219,2.0,0
Alan Gonzalez,1444,486,0.0,0
Alan Green,1933,1321,1.0,0
Alan Haynes,2676,1056,6.0,1
Alan Hoffman,907,1307,3.0,0
Alan Jensen,7279,1339,6.0,0
Alan Johnson,3411,1350,1.0,0
Alan Joseph,5060,1321,1.0,0
Alan King,2814,784,3.0,0
Alan Lewis,2841,1294,0.0,0
Alan Little,3152,1287,0.0,0
Alan Martin,6354,1260,4.0,0
Alan Mcintosh,1217,771,2.0,0
Alan Mejia,7004,767,2.0,0
Alan Mitchell,2957,1324,3.0,0
Alan Moore,13055,1311,5.0,1
Alan Mora,3003,1121,3.0,0
Alan Morales,4653,884,1.0,0
Alan Morris,2198,1247,1.0,0
Alan Newman,3627,1212,1.0,0
Alan Nguyen,1508,1279,3.0,0
Alan Norton,4102,1334,2.0,0
Alan Oconnell,5537,882,3.0,0
Alan Pearson,10610,1282,3.0,0
Alan Peters,6507,1329,6.0,1
Alan Price,2193,1224,3.0,1
Alan Reed,3827,1034,2.0,1
Alan Reeves,4267,1273,1.0,1
Alan Reilly,2415,722,1.0,0
Alan Robinson,4364,1258,2.0,0
Alan Rogers,3583,1175,2.0,0
Alan Roth,2650,955,0.0,1
Alan Rowe,1484,939,1.0,0
Alan Ruiz,5449,1147,4.0,0
Alan Sampson,3501,1124,1.0,0
Alan Smith,2480,306,0.0,1
Alan Stevens,10659,1266,6.0,0
Alan Stewart,4308,1267,4.0,0
Alan Torres,4658,1288,3.0,1
Alan Tucker,3703,1345,2.0,0
Alan Turner,8227,1333,6.0,0
Alan Valentine,5079,1221,2.0,0
Alan Velasquez,1233,680,1.0,0
Alan Welch,3335,650,2.0,0
Alan Wright,1085,1133,1.0,1
Albert Aguirre,5537,1280,2.0,0
Albert Alexander,7146,1106,3.0,0
Albert Arnold,1797,1203,3.0,0
Albert Boyle,4174,1029,3.0,1
Albert Caldwell,3932,1326,5.0,0
Albert Christensen,3159,1246,3.0,0
Albert Cruz,1408,926,1.0,1
Albert Cummings,5397,1329,2.0,1
Albert Davis,130,658,1.0,1
Albert Elliott,3681,1103,0.0,0
Albert Erickson,526,996,1.0,0
Albert Fisher,4767,1353,5.0,0
Albert Galvan,2979,1256,2.0,0
Albert Graham,2006,1208,1.0,0
Albert Guerra,2243,1326,2.0,0
Albert Hampton,4449,1331,2.0,0
Albert Harris,5168,1305,5.0,0
Albert Harrison,5697,1294,4.0,0
Albert Johnson,8318,1047,7.0,0
Albert Lee,7352,1267,3.0,0
Albert May MD,4079,975,2.0,1
Albert Melendez,5705,600,2.0,0
Albert Miller,406,528,1.0,0
Albert Mitchell,1592,1342,2.0,1
Albert Moody,1017,1124,0.0,0
Albert Morales,5514,1150,1.0,1
Albert Nelson,1625,1041,2.0,0
Albert Ortiz,11041,1309,4.0,0
Albert Patel,1727,293,3.0,0
Albert Rivera,4640,1194,2.0,0
Albert Roberts,7131,1231,4.0,0
Albert Rodriguez,3398,904,3.0,0
Albert Rose,2743,1160,0.0,1
Albert Saunders,2652,988,2.0,0
Albert Sherman,3576,1112,3.0,0
Albert Smith,1509,914,1.0,0
Albert Stewart,4118,1310,2.0,0
Albert Taylor,8347,1219,2.0,1
Albert Walker,4403,1325,1.0,0
Albert Warren,4260,800,0.0,0
Albert Washington,5957,738,4.0,0
Albert Weiss,1039,1067,1.0,1
Albert Whitaker,593,826,2.0,0
Albert White,3371,1033,2.0,0
Albert Wilson,496,572,1.0,0
Albert Wolfe,1392,908,0.0,0
Alec Brown,5618,1208,4.0,0
Alec Buck,9591,1199,4.0,0
Alec Castillo,4584,1297,4.0,0
Alec Cruz,2254,1062,2.0,0
Alec Elliott,1116,746,3.0,0
Alec Fox,4565,1307,2.0,0
Alec Hall,2253,546,1.0,0
Alec Lopez,3532,1241,3.0,0
Alec Roberson,5849,1004,1.0,0
Alec Smith,4089,1244,2.0,0
Alejandra Adams,3183,669,2.0,0
Alejandra Brown,4119,1326,2.0,0
Alejandra Fields,1767,1214,2.0,0
Alejandra Hunt,1338,785,0.0,0
Alejandra Pope,2485,927,0.0,0
Alejandra Richards,9338,1204,4.0,0
Alejandra Rivera,7986,1190,5.0,0
Alejandra Snyder,791,936,1.0,0
Alejandro Boyle,3795,922,2.0,1
Alejandro Bradford MD,8135,1345,4.0,0
Alejandro Bruce,5860,1247,0.0,0
Alejandro Cameron,4304,1233,4.0,0
Alejandro Campbell,5388,1137,3.0,0
Alejandro Davis,2153,1064,2.0,0
Alejandro Green,2136,884,2.0,0
Alejandro Herring,3965,1057,2.0,0
Alejandro Maddox,3662,1295,2.0,1
Alejandro Martin,1986,535,0.0,0
Alejandro Mitchell,4471,1103,1.0,1
Alejandro Nguyen,3204,1212,2.0,0
Alejandro Nixon,2625,1059,3.0,0
Alejandro Noble,4975,1253,4.0,0
Alejandro Robinson,4889,1150,1.0,0
Alejandro Shepard,6460,1109,4.0,0
Alejandro Stephens,4791,913,5.0,0
Alejandro Woods,4169,818,0.0,1
Alex Aguilar,3508,1261,1.0,1
Alex Brewer,2115,950,1.0,0
Alex Brown,3317,1348,4.0,0
Alex Byrd,4142,1195,3.0,0
Alex Chapman,3271,655,2.0,0
Alex Christian,4579,702,2.0,0
Alex Cooper,5134,1280,2.0,1
Alex Dalton,27,1135,1.0,0
Alex Davis,2466,695,1.0,1
Alex Dean,3296,1028,2.0,1
Alex Dennis,594,363,1.0,0
Alex Garza,1369,1208,1.0,0
Alex Gay,4557,1268,6.0,1
Alex Gonzalez,7506,1151,7.0,0
Alex Graham,4900,1296,0.0,0
Alex Hernandez,3138,1227,1.0,0
Alex Howell,3059,967,1.0,0
Alex Jacobs,4788,1335,1.0,1
Alex Jenkins,6772,1251,3.0,0
Alex Jensen,2659,1223,1.0,0
Alex Johnson,3117,1238,4.0,0
Alex Johnson III,1028,701,1.0,1
Alex Kirby,6148,1153,1.0,1
Alex Lam,4193,1114,2.0,1
Alex Lewis,3431,1312,2.0,0
Alex Lopez,383,893,0.0,0
Alex Marshall,5464,1224,5.0,0
Alex Martinez,554,820,2.0,0
Alex Mcguire,3291,1038,3.0,0
Alex Mckay,2941,1273,3.0,1
Alex Melendez,2608,989,3.0,0
Alex Miller,3541,1205,2.0,0
Alex Miranda,3557,489,1.0,1
Alex Mooney,4666,1026,3.0,0
Alex Moore,6012,1163,2.0,0
Alex Murphy,5991,1221,4.0,0
Alex Perkins,2837,1096,0.0,0
Alex Robinson,3079,1303,4.0,1
Alex Rodriguez,8123,1131,1.0,1
Alex Ruiz,3412,1304,2.0,1
Alex Ryan,5759,1178,5.0,0
Alex Schroeder,2162,910,0.0,1
Alex Schwartz,2585,854,2.0,0
Alex Smith,5743,1337,3.0,0
Alex Taylor,6270,874,1.0,1
Alex Waller DDS,3901,1215,1.0,0
Alex Washington,4033,1057,3.0,0
Alex Weaver,5971,1284,2.0,0
Alex Williams,2697,1169,0.0,0
Alex Wright,3935,776,0.0,0
Alex Yoder,2142,1191,1.0,0
Alexa Anderson,334,1209,1.0,0
Alexa Burke,2078,718,2.0,0
Alexa Campbell,1711,1196,1.0,1
Alexa Conner,2770,1185,0.0,0
Alexa Cook,2990,1077,2.0,0
Alexa Cox,4524,1233,2.0,0
Alexa Davis,2256,1142,2.0,0
Alexa Edwards,5232,1287,1.0,0
Alexa Ford,1039,1326,3.0,0
Alexa Golden,2286,647,2.0,0
Alexa Gonzalez,95,507,0.0,0
Alexa Hughes,5191,1083,6.0,0
Alexa Lee,4197,1339,4.0,1
Alexa Lewis,5691,1335,1.0,0
Alexa Lopez,2545,1351,1.0,0
Alexa Matthews,317,843,1.0,1
Alexa Nichols,3022,1155,2.0,1
Alexa Scott,8222,1233,4.0,0
Alexa Turner,5519,1089,2.0,1
Alexa Valentine,5966,1280,3.0,0
Alexa Weeks,5112,1193,3.0,0
Alexa Wilkins,1645,966,1.0,0
Alexa Woodward,4564,1288,2.0,0
Alexander Abbott,904,1038,1.0,0
Alexander Aguilar,3463,1147,2.0,0
Alexander Anderson,5420,925,2.0,0
Alexander Andrews,3857,549,1.0,0
Alexander Atkinson,4931,958,1.0,0
Alexander Baker,8735,1225,3.0,0
Alexander Barker,1122,81,0.0,0
Alexander Barnes,1023,446,2.0,1
Alexander Barr,6420,1342,2.0,0
Alexander Barron,5353,1057,1.0,0
Alexander Bennett,4428,1235,2.0,0
Alexander Benson,3793,955,3.0,0
Alexander Bentley,1558,1318,2.0,0
Alexander Bowen,2340,372,1.0,0
Alexander Boyer,8291,1063,4.0,1
Alexander Brock,10569,1348,6.0,0
Alexander Brown,16584,1292,9.0,1
Alexander Buckley,3393,736,1.0,1
Alexander Burnett,158,562,1.0,1
Alexander Bush,5991,653,4.0,0
Alexander Campbell,7016,1118,5.0,0
Alexander Castillo,4191,599,1.0,0
Alexander Chambers,4932,891,4.0,1
Alexander Cline,5349,1261,4.0,0
Alexander Coleman,6739,1264,3.0,1
Alexander Conway,4903,967,1.0,0
Alexander Cook,2130,842,0.0,0
Alexander Cox,435,641,1.0,0
Alexander Crawford,1304,943,2.0,0
Alexander Cruz,9580,1319,6.0,1
Alexander Davenport,6906,416,2.0,0
Alexander Davis,10688,1132,6.0,1
Alexander Dillon,2284,1337,2.0,0
Alexander Duran,170,934,0.0,1
Alexander Ellis,2207,1334,1.0,0
Alexander Faulkner,5231,1203,1.0,1
Alexander French,5101,1152,4.0,1
Alexander Garcia,2260,1159,3.0,0
Alexander Garrett,5867,1236,4.0,0
Alexander Gibson,6590,941,5.0,0
Alexander Glenn,480,1138,2.0,0
Alexander Gomez,408,200,0.0,1
Alexander Gonzalez,5702,1310,4.0,0
Alexander Gordon,1518,1063,2.0,0
Alexander Graham,3890,1123,3.0,0
Alexander Grant,2660,1208,2.0,0
Alexander Green,7975,1102,2.0,0
Alexander Griffin,3240,956,2.0,0
Alexander Hall,3791,1204,3.0,1
Alexander Hampton,4355,1259,1.0,0
Alexander Hanson,4081,1313,5.0,0
Alexander Hardy,10642,905,4.0,0
Alexander Harrell,1744,1047,1.0,0
Alexander Harris,2061,1096,1.0,0
Alexander Harrison,1178,1134,2.0,0
Alexander Hartman,5687,1131,4.0,1
Alexander Hernandez,5001,1293,0.0,0
Alexander Hess,4378,1185,4.0,1
Alexander Holland,2683,1265,1.0,0
Alexander Horton,3723,1147,0.0,0
Alexander Howard,7535,843,2.0,0
Alexander Hughes,2811,1233,1.0,0
Alexander Jackson,2711,1315,1.0,0
Alexander Johnson,2799,1198,1.0,0
Alexander Jones,7967,1298,6.0,0
Alexander Jordan,5583,1175,1.0,0
Alexander Lam,3873,1070,1.0,0
Alexander Leblanc,1090,439,2.0,0
Alexander Lopez,4415,1155,3.0,0
Alexander Lucas,3799,1229,2.0,0
Alexander Marshall MD,6873,1278,5.0,0
Alexander Martin,6069,909,3.0,0
Alexander Matthews,2196,1296,1.0,0
Alexander Maynard,7126,790,0.0,0
Alexander Mckay,3058,1273,3.0,0
Alexander Mejia,5849,1199,2.0,1
Alexander Mendez,3549,1241,2.0,0
Alexander Miller,9277,1219,2.0,0
Alexander Mitchell,4824,1079,3.0,0
Alexander Mora,1879,381,0.0,0
Alexander Morales,2742,985,0.0,0
Alexander Mosley,2927,1289,2.0,0
Alexander Nelson,2458,1311,2.0,0
Alexander Newton,2850,1225,1.0,0
Alexander Nunez,1054,1312,3.0,0
Alexander Oconnor,2248,1343,0.0,0
Alexander Park,2020,1238,1.0,0
Alexander Parker,2211,1018,2.0,0
Alexander Paul,125,298,1.0,0
Alexander Perez,5689,1114,0.0,0
Alexander Pratt,8162,1211,4.0,0
Alexander Rios,4418,1261,3.0,0
Alexander Roach,3907,1330,4.0,0
Alexander Robertson,374,1296,1.0,0
Alexander Rogers,5175,1206,1.0,1
Alexander Roman,3570,1300,4.0,1
Alexander Russo,6709,1260,3.0,0
